LyricsWiki-Page,Artist,Title,Spotify-ID,Spotify-explicit,Explicit,Strong language,Substance abuse,Sexual reference,References to violence,Discriminatory language
Second Person:Giant Steps,Second Person,Giant Steps,13MdqqqYRmCtoqs2rVavvY,0,0,0,0,0,0,0
"Scruffy The Cat:Beg, Borrow And Steal",Scruffy The Cat,"Beg, Borrow And Steal",4YyDATV93q6nuJ7yvqtI22,0,0,0,0,0,0,0
Lisa Loeb:Swept Away,Lisa Loeb,Swept Away,7iLhme8NrErtWD1vUyNhuE,0,0,0,0,0,0,0
Chaka Khan:You Can Make The Story Right,Chaka Khan,You Can Make The Story Right,5qOxKQ1IdcyGP2ut6R1cfY,0,0,0,0,0,0,0
Downhere:The Song You Sing,Downhere,The Song You Sing,2CU24VetHilwBOELaV26di,0,0,0,0,0,0,0
Rhapsody Of Fire:Lost In Cold Dreams,Rhapsody Of Fire,Lost In Cold Dreams,1ZbxhBeJPQG3tUeMcWrSrF,0,0,0,0,0,0,0
"Home Grown:I Win, You Lose",Home Grown,"I Win, You Lose",1VGkM9sLGeexvvnibbYQnW,0,0,0,0,0,0,0
Adrian Orange:While You Live,Adrian Orange,While You Live,1KwDIyhUJjt3p1jIKl57hc,0,0,0,0,0,0,0
Kate Earl:Raven,Kate Earl,Raven,7zjUcUS4LrV140hfWASkyz,0,0,0,0,0,0,0
S.P.O.C.K:Not Human,S.P.O.C.K,Not Human,1sPKkGOkqU2NZYzOPFGOJE,0,1,0,1,0,0,0
The Blues Project:Spoonful,The Blues Project,Spoonful,6xsVszgtX65RqbHLk5IfZ1,0,0,0,0,0,0,0
Noko Woi:Mixed Feelings,Noko Woi,Mixed Feelings,0dNkKIp2LSUxgjS7lMJjjL,0,0,0,0,0,0,0
Paul Williams:What Would They Say,Paul Williams,What Would They Say,5d3DnGh9Nhri2hMxcXeZVo,0,0,0,0,0,0,0
The Afghan Whigs:Copernicus,The Afghan Whigs,Copernicus,3FUXlxkEu2jL7cJxTY8rda,0,0,0,0,0,0,0
Torment:State Of War,Torment,State Of War,6bOG453zryy2kY7qysJkEd,0,0,0,0,0,0,0
Fuel:Won't Back Down,Fuel,Won't Back Down,55kwW5RzP26IAVZvSBxBfN,0,0,0,0,0,0,0
Bloody Sunday:Friend Was Your Name,Bloody Sunday,Friend Was Your Name,0AYo4xV3uG8hop7nsgqsMH,0,0,0,0,0,0,0
Stone Gods:Lazy Bones,Stone Gods,Lazy Bones,6OkeEEJteb0TnRGJk4Kc2Y,0,0,0,0,0,0,0
Lacuna Coil:The Last Goodbye,Lacuna Coil,The Last Goodbye,72af7ob9ptKTTXIXnD5qlH,0,0,0,0,0,0,0
Pinkshinyultrablast:Umi,Pinkshinyultrablast,Umi,1n08XfY8nFCLYa0wtEASTV,0,0,0,0,0,0,0
Saigon Kick:On And On,Saigon Kick,On And On,0Pjcj51AG0PE6kcBaEVYvr,0,0,0,0,0,0,0
Adele:Chasing Pavements,Adele,Chasing Pavements,4g5HM2uHK5XTGPGSXDCEEF,0,0,0,0,0,0,0
Little Scream:Guyegaros,Little Scream,Guyegaros,3RO0LrwbpLz3LBCQ3WqqrW,0,0,0,0,0,0,0
Blondie:Go Through It,Blondie,Go Through It,0Yf0rXQFAjkJXGGWMP8MIV,0,0,0,0,0,0,0
The Waiting:You Believe,The Waiting,You Believe,5S8zodgewVuZauaMYxmpjv,0,0,0,0,0,0,0
The Music:The Last One,The Music,The Last One,5iCCHjewtQ03FvZSQN8JvF,0,0,0,0,0,0,0
The Haunted:Burner,The Haunted,Burner,4JfLSbDazpYFYMrXOGnUPk,0,0,0,0,0,0,0
Lucero:It Gets The Worst At Night,Lucero,It Gets The Worst At Night,6xxp9Aazf3ubuwkIJlKMMv,0,0,0,0,0,0,0
Waltari:Wide Awake,Waltari,Wide Awake,7oDuHJOl8O8qCAAcSPAF5M,0,0,0,0,0,0,0
Soulfallen:To The Wolves At My Door,Soulfallen,To The Wolves At My Door,2LDwFCbYmeWnMwRXLzDvmh,0,1,0,0,0,1,0
Grand Incredible:Forgiveness Again,Grand Incredible,Forgiveness Again,4MOLenTtIs7C0W6PJ4UJ0A,0,0,0,0,0,0,0
Bleachers:Shadow,Bleachers,Shadow,21BrL78LaCFPx572SYolGo,0,0,0,0,0,0,0
Classics IV:Something I'll Remember,Classics IV,Something I'll Remember,1ahUXFbdHXpmQMBLjkw1C3,0,0,0,0,0,0,0
Depeche Mode:Monument,Depeche Mode,Monument,0MzA8Bb3LH9FuEyaKny8my,0,0,0,0,0,0,0
"Hank Penny:Oh Yes, Take Another Guess",Hank Penny,"Oh Yes, Take Another Guess",1aGQOEM3qSXO0QhPkFA7EB,0,0,0,0,0,0,0
Galactic Cowboys:Nothing To Say,Galactic Cowboys,Nothing To Say,63WbP94ETRxa92LuI124Zb,0,0,0,0,0,0,0
Treble Charger:Takes Me Down,Treble Charger,Takes Me Down,62AvepLeCPhJQHkidcfqQs,0,0,0,0,0,0,0
John Wesley:In Sight Of The Rainbow,John Wesley,In Sight Of The Rainbow,5jXrjgetpLX26SLirwUdji,0,0,0,0,0,0,0
Erin Mckeown:Softly Moses,Erin Mckeown,Softly Moses,6qvoPpfyDliECV2CMwDaPr,0,0,0,0,0,0,0
Sly & The Family Stone:Hot Fun In The Summertime,Sly & The Family Stone,Hot Fun In The Summertime,66q615JJs208CVBAObvsem,0,0,0,0,0,0,0
Nana Mouskouri:Bill,Nana Mouskouri,Bill,7atvdOnXL8CGhfiIwpPUJz,0,0,0,0,0,0,0
Van Morrison:Aryan Mist,Van Morrison,Aryan Mist,5lgSxlKFipFP3bL5eLExao,0,0,0,0,0,0,0
Ten Fé:In The Air,Ten Fé,In The Air,4BHFcMfQfV4GAycYsoNyz1,0,0,0,0,0,0,0
Dredg:Zebraskin,Dredg,Zebraskin,5WJ1vwF7hFEviYXfn4yYDP,0,0,0,0,0,0,0
Rage Against The Machine:Sleep Now In The Fire,Rage Against The Machine,Sleep Now In The Fire,1MQTmpYOZ6fcMQc56Hdo7T,0,0,0,0,0,0,0
Kidz Bop:Till The World Ends,Kidz Bop,Till The World Ends,3PU8uuWkSJepeUR7IdAuQO,0,0,0,0,0,0,0
Three Days Grace:Painkiller,Three Days Grace,Painkiller,6OMO6WdRhSfjMPAiPT94wH,0,0,0,0,0,0,0
DevilDriver:Curses And Epitaphs,DevilDriver,Curses And Epitaphs,6KYVERaSBizLbDJ71FQVbD,0,1,0,0,0,1,0
Cross Canadian Ragweed:To Find My Love,Cross Canadian Ragweed,To Find My Love,1dQcXm54draYvAIE66Hqzt,0,0,0,0,0,0,0
Lapko:Barrel Of The Past,Lapko,Barrel Of The Past,1iBt69XV652B6Ta5vUQJRl,0,0,0,0,0,0,0
Tim Buckley:Strange Feelin',Tim Buckley,Strange Feelin',6X53ZMjsdLZ7B04WB6xqwt,0,0,0,0,0,0,0
Nightrage:Jubilant Cry,Nightrage,Jubilant Cry,4r3IKFHRP2kV0naHRZu9xH,0,0,0,0,0,0,0
The Story So Far:Selling Out In Style,The Story So Far,Selling Out In Style,3gH7xE7YmhAHgdQ6QxERJb,0,0,0,0,0,0,0
Reverie Sound Revue:Off Rooftops,Reverie Sound Revue,Off Rooftops,2pR9J2XGLYtOjzuT0G51gC,0,0,0,0,0,0,0
"Slim Harpo:Tip On In, Part 1",Slim Harpo,"Tip On In, Part 1",5AOEWEOT5OW6on32ebXVRL,0,0,0,0,0,0,0
Dead Moon:Cast Will Change,Dead Moon,Cast Will Change,5hvyCq3jgDrv3hUAlsqMvO,0,0,0,0,0,0,0
Chevelle:Envy,Chevelle,Envy,0jJAyTjU0pKDmFlxLFdF0U,0,0,0,0,0,0,0
Boney M.:I Feel Good,Boney M.,I Feel Good,3wNRHdZizahO84rAi2BZ0q,0,0,0,0,0,0,0
The Pogues:South Australia,The Pogues,South Australia,0IBOsG3HJQIpLHWCsYT7tD,0,0,0,0,0,0,0
Discipline:These Streets,Discipline,These Streets,3NADQlZMoeJHp5VxWcSfKi,0,0,0,0,0,0,0
Stryper:Ordinary Man,Stryper,Ordinary Man,5L6cZb5xyqqUJQRrpoWhvM,0,0,0,0,0,0,0
Foreverinmotion:For The Light,Foreverinmotion,For The Light,0H7uEkcgqNYJDiYW6JxW70,0,0,0,0,0,0,0
Bryan White:We Could Have Been,Bryan White,We Could Have Been,7s7hQZk7hohqbHS8nlNspE,0,0,0,0,0,0,0
George Strait:Is It Already Time,George Strait,Is It Already Time,7yoQtjrMCsrS4KafkYdo8h,0,0,0,0,0,0,0
Days Away:Stay The Same,Days Away,Stay The Same,6cyVIqmGSY4riBImypx9Z7,0,0,0,0,0,0,0
Downhere:Let Me Rediscover You,Downhere,Let Me Rediscover You,0CppYKGdFx8zZDKFWzmy8n,0,0,0,0,0,0,0
Beat Farmers:Blue Chevrolet,Beat Farmers,Blue Chevrolet,1CXC3ltSTpvbjgu7TNFPVk,0,0,0,0,0,0,0
American Hi-Fi:The Rescue,American Hi-Fi,The Rescue,4lKjSbQTGLY1cZH0ApYmni,0,0,0,0,0,0,0
TWRP:Groove Crusaders,TWRP,Groove Crusaders,0TtNiDIU5UgxvGUHiJmXsx,0,0,0,0,0,0,0
Severe Torture:Vomiting Christ,Severe Torture,Vomiting Christ,5nNi3AGYmaVeVjJKo0UiZG,0,1,1,0,0,0,0
Tara MacLean:More,Tara MacLean,More,7JBWl6TiZ3VEHmt09uh1Ae,0,0,0,0,0,0,0
Tanita Tikaram:Keep It Real,Tanita Tikaram,Keep It Real,5GUhbodXXBPNtpVmeVrb8I,0,0,0,0,0,0,0
Naturally 7:4 Life,Naturally 7,4 Life,3RvIqxQCjqBhweyQUZrJ15,0,0,0,0,0,0,0
Ronan Keating:Last Thing On My Mind,Ronan Keating,Last Thing On My Mind,0N3nu827s42wdwJWYFRYyH,0,0,0,0,0,0,0
Buddy Miller:Please Send Me Someone To Love,Buddy Miller,Please Send Me Someone To Love,1Sh4TuOJg03fMCiPlBqo83,0,0,0,0,0,0,0
Glass Casket:I Slept,Glass Casket,I Slept,0R30CCcE6SJGaRrvjc0qeO,0,0,0,0,0,0,0
Bessie Tucker:Penitentiary,Bessie Tucker,Penitentiary,4jcpDViJfHQmGWJ14NIezk,0,0,0,0,0,0,0
Boz Scaggs:I'm A Fool To Care,Boz Scaggs,I'm A Fool To Care,2dM8EguNcbGB7T7luLXLsk,0,0,0,0,0,0,0
The Graduate:Siren,The Graduate,Siren,50PWqGsuzb3jcxa6A2eRko,0,0,0,0,0,0,0
MyGRAIN:Rats In The Cradle,MyGRAIN,Rats In The Cradle,6zJwg8qRm18foSU3mExfrE,0,1,0,0,0,1,0
Fenton Robinson:The Sky Is Crying,Fenton Robinson,The Sky Is Crying,0yLQnDUMKcNEojKUKqqn3O,0,0,0,0,0,0,0
The Wreckers:Love Me Like That,The Wreckers,Love Me Like That,1F1fd0vVFLx7IvFegyzneE,0,0,0,0,0,0,0
Pendragon:Indigo,Pendragon,Indigo,11nstSpKUzKKSCzyLCuo68,0,1,0,0,0,1,0
R. Kelly:Don't Put Me Out,R. Kelly,Don't Put Me Out,4ozTj7rYU8sg51K42EskQS,0,0,0,0,0,0,0
U.S. Bombs:Checkpoint,U.S. Bombs,Checkpoint,5qOxq8Faw1tdleqdswggZd,0,0,0,0,0,0,0
Ian McCulloch:Heaven's Gate,Ian McCulloch,Heaven's Gate,4POmleO4Ki17U1iPl3mLBE,0,0,0,0,0,0,0
Rocky Votolato:Fragments,Rocky Votolato,Fragments,5684U5oknWner1YdnrJteN,0,0,0,0,0,0,0
Michele Luppi:I Found A Way To Pray,Michele Luppi,I Found A Way To Pray,3iA7VJVA5VJwYj04kkaJ1f,0,0,0,0,0,0,0
Kylesa:Drop Out,Kylesa,Drop Out,27a335dJdtUdgenp3LQ3dl,0,0,0,0,0,0,0
Arlo Guthrie:Creole Belle,Arlo Guthrie,Creole Belle,5FdA7jr9K94KfJ4SZztIEJ,0,0,0,0,0,0,0
Takida:Between The Lines,Takida,Between The Lines,4qjvMpD866EwT5EQ7nCFFu,0,0,0,0,0,0,0
Guitar Slim And Jelly Belly:Don't Leave Me All By Myself,Guitar Slim And Jelly Belly,Don't Leave Me All By Myself,2W8kkxyoFL1p844TFEJvNu,0,0,0,0,0,0,0
Split Enz:Stranger Than Fiction,Split Enz,Stranger Than Fiction,5Xx8TiJruP2X2mh0WcwSmJ,0,0,0,0,0,0,0
Fairport Convention:The Deserter,Fairport Convention,The Deserter,0Y7GAieyJOuoAnevvx5XOg,0,0,0,0,0,0,0
Ramblin' Jack Elliott:Pony,Ramblin' Jack Elliott,Pony,5ZgaksX0QOTUHfeuDmGm0E,0,0,0,0,0,0,0
InMe:Safe In A Room,InMe,Safe In A Room,4Oo82NrKxZCG1NeJzcaNT7,0,0,0,0,0,0,0
Ramones:Please Don't Leave,Ramones,Please Don't Leave,4Tg0G62VsmHIPDYNvDjoME,0,0,0,0,0,0,0
Toyah:Tiger! Tiger!,Toyah,Tiger! Tiger!,18G5e5DgfTlElusB2qepD1,0,0,0,0,0,0,0
Prong:Windows Shut,Prong,Windows Shut,35BmM5DDHmklUfwCCSLu62,0,0,0,0,0,0,0
Agnetha Fältskog:If I Thought You'd Ever Change Your Mind,Agnetha Fältskog,If I Thought You'd Ever Change Your Mind,7o8cXOqiCTlC7x2gERvWxM,0,0,0,0,0,0,0
Urge Overkill:Crackbabies,Urge Overkill,Crackbabies,7eoJB4HnOOokpbdQYQLXhM,0,0,0,0,0,0,0
Chicago:Holdin' On,Chicago,Holdin' On,0BwEVcYhA2khgXicvNUtDS,0,0,0,0,0,0,0
Paul McCartney:Used To Be Bad,Paul McCartney,Used To Be Bad,4rYpm3rjbWRrDSz5n1SVUd,0,0,0,0,0,0,0
Ordo Rosarius Equilibrio:Hear The Sound Of A Black Flame Rising.,Ordo Rosarius Equilibrio,Hear The Sound Of A Black Flame Rising.,01TsURmXJmkrPG7COAv0S4,0,0,0,0,0,0,0
Jonny Lang:On My Feet Again,Jonny Lang,On My Feet Again,2fkI0gKB1sj4AKZibkz4fD,0,0,0,0,0,0,0
House Of Heroes:Angels In Top Hats,House Of Heroes,Angels In Top Hats,0fL4agTeWiqp434m3B2pBQ,0,0,0,0,0,0,0
Wavves:That's On Me,Wavves,That's On Me,4uRXldJOMVR1zthQbjZv3H,0,0,0,0,0,0,0
Slave:Slide,Slave,Slide,2du5UEJ0j38dZsbh9uSz7S,0,0,0,0,0,0,0
Sworn Enemy:Destroyer,Sworn Enemy,Destroyer,6QpkOMGq2x0URr9MkbiyWU,0,0,0,0,0,0,0
The Methadones:I'm About To Crack,The Methadones,I'm About To Crack,6RXSI71VPSGs1ZqzxTX17B,0,0,0,0,0,0,0
A Taste Of Honey:Boogie Oogie Oogie,A Taste Of Honey,Boogie Oogie Oogie,0MAbJIM796NvVMARitaQx0,0,0,0,0,0,0,0
Supreme Beings Of Leisure:You're Always The Sun,Supreme Beings Of Leisure,You're Always The Sun,6uYgngEehjgS1nTedZLkw5,0,0,0,0,0,0,0
Lucinda Williams:Passionate Kisses,Lucinda Williams,Passionate Kisses,0VxjvVbFz3jGgOW63CkVM6,0,0,0,0,0,0,0
Michael Learns To Rock:I'm Gonna Be Around,Michael Learns To Rock,I'm Gonna Be Around,2BEe9Alu8PfYwtUJiF3fC3,0,0,0,0,0,0,0
Diane Cluck:4 Score Lightnings,Diane Cluck,4 Score Lightnings,05kIT620lvKp3WZDsH9bNz,0,0,0,0,0,0,0
The Mountain Goats:Sail Babylon Springs,The Mountain Goats,Sail Babylon Springs,1ErZ7nGDk4ceCKDPay0n8N,0,0,0,0,0,0,0
Richard Thompson:Twisted,Richard Thompson,Twisted,4vE5z6Px2kPSdr10w0Q4Yr,0,0,0,0,0,0,0
Dada:Goodbye,Dada,Goodbye,1eGoA6tuioAIkpyd9CNN5A,0,0,0,0,0,0,0
7 Seconds Of Love:Twister,7 Seconds Of Love,Twister,5V0T6Xk16MBzGNvRooDMuH,0,0,0,0,0,0,0
Default:Turn It On,Default,Turn It On,7I3iuy0nKsqK2VlBHBaaV9,0,0,0,0,0,0,0
Phish:Touch Me,Phish,Touch Me,4bnUZbMOFuYn4mj567xAHa,0,0,0,0,0,0,0
Mousse T.:Bounce,Mousse T.,Bounce,7CXI0Oy7C9qIkiaMNTno8a,0,0,0,0,0,0,0
Joey Ramone:Make Me Tremble,Joey Ramone,Make Me Tremble,6ZOh5F3sj4J4iZjl8t42Bj,0,0,0,0,0,0,0
Shannon & The Clams:Rat House,Shannon & The Clams,Rat House,5pjj9Pw1lWGfXOb34i5NWz,0,0,0,0,0,0,0
Hasse Fröberg & Musical Companion:Ultimate Thrill,Hasse Fröberg & Musical Companion,Ultimate Thrill,67alH918RkrtPwCg1fEJyv,0,0,0,0,0,0,0
The Republic Of Wolves:Greek Fire,The Republic Of Wolves,Greek Fire,1KjEdE6LQvKkJVGfVOjAgq,0,0,0,0,0,0,0
Saigon Kick:Peppermint Tribe,Saigon Kick,Peppermint Tribe,3hTnt2TRFve1jOMA5imEJN,0,0,0,0,0,0,0
The Get Up Kids:Overdue,The Get Up Kids,Overdue,06Gm23KEBvJxvOueqKpgdX,0,0,0,0,0,0,0
Insania:Seasons Of Life,Insania,Seasons Of Life,36mZ0V4j6LSEG98xD3rZmx,0,0,0,0,0,0,0
Toyah:Moonlight Dancing,Toyah,Moonlight Dancing,7o75SslBa45QB5pSaLD4Th,0,0,0,0,0,0,0
Aretha Franklin:Try Matty's,Aretha Franklin,Try Matty's,3ONRIxvEEcdzGaMIQJUqCD,0,0,0,0,0,0,0
Gloria Estefan:Famous,Gloria Estefan,Famous,2kaovBtg8393XTR30YjS7g,0,0,0,0,0,0,0
Circle II Circle:So Many Reasons,Circle II Circle,So Many Reasons,0HoN7Y0586WHMZVscIam9l,0,0,0,0,0,0,0
Shania Twain:Dance With The One That Brought You,Shania Twain,Dance With The One That Brought You,3uaqgOB1Sj3bAaXP9XoEjd,0,0,0,0,0,0,0
Melissa Ferrick:Seconds Like These,Melissa Ferrick,Seconds Like These,4EIhVyR9y9fQddAxmAD8BJ,0,0,0,0,0,0,0
Keith Urban:Without You,Keith Urban,Without You,3rtEGKZoOn16JAoAbVNPTy,0,0,0,0,0,0,0
Emily Barker:Little Deaths,Emily Barker,Little Deaths,01afR1hvY69n98fpqYFHhL,0,1,0,0,0,1,0
Matt Nathanson:Faster,Matt Nathanson,Faster,0OrJ2cLabsF7UU8ps0h1T1,0,0,0,0,0,0,0
Bobby Troup:Route 66,Bobby Troup,Route 66,74TBhKmuDdxIjqqnrZRIKQ,0,0,0,0,0,0,0
Simon Joyner:Hollywood,Simon Joyner,Hollywood,3xoeO29vtVx4e9YSpy5LbV,0,0,0,0,0,0,0
JBM:Friends For Fireworks,JBM,Friends For Fireworks,5OCypOjmVWwP3u7M5IcN6A,0,0,0,0,0,0,0
Cheap Sex:Worst Nightmare,Cheap Sex,Worst Nightmare,5NLyhmGVZqkkiWJHqXz0tb,0,1,0,0,0,1,0
The Casket Lottery:Red House,The Casket Lottery,Red House,5WNlOA2fQc960YftpKFYaA,0,0,0,0,0,0,0
Muse:Undisclosed Desires (Thin White Duke Remix),Muse,Undisclosed Desires (Thin White Duke Remix),7ARp8f9QFRpfRvXfwLa7t5,0,0,0,0,0,0,0
Path Of Resistance:Blood Trail,Path Of Resistance,Blood Trail,3Fct6Z9EaHdN9ZXkSKlpq4,0,0,0,0,0,0,0
Gigolo Aunts:C'mon C'mon,Gigolo Aunts,C'mon C'mon,5d6aYQkiEyGqide6ZGDZxP,0,0,0,0,0,0,0
Gavin Friday:Where'd Ya Go? Gone,Gavin Friday,Where'd Ya Go? Gone,18wNRuBFXZNaPBjht1pl7Q,0,0,0,0,0,0,0
The Violet Burning:The Loudest Sound In My Heart,The Violet Burning,The Loudest Sound In My Heart,2ybSOTChIk03bM9SOeZyav,0,0,0,0,0,0,0
Manfred Mann's Earth Band:Hollywood Town,Manfred Mann's Earth Band,Hollywood Town,2b0t71TGzRHYbjmWOb6Msd,0,0,0,0,0,0,0
Vast:Don't Take Your Love Away,Vast,Don't Take Your Love Away,4VtG7HtTG5Qi2Yiz7U50l8,0,0,0,0,0,0,0
Monster Movie:No One Can Know,Monster Movie,No One Can Know,2McbQkY65ot1mMlbf3GH6a,0,0,0,0,0,0,0
Lyfthrasyr:Exhaling The Spirit Of Time,Lyfthrasyr,Exhaling The Spirit Of Time,6sRJCKi6UtyDeG3EWThmSx,0,0,0,0,0,0,0
The Tears:Branded,The Tears,Branded,0Ng2BiRz53DSKoc0V8pknb,0,1,1,0,0,0,0
Figurine:IMpossible,Figurine,IMpossible,3Gm4JK0IXtJdzDuHTL9OBS,0,0,0,0,0,0,0
Di-Rect:Angel Dust,Di-Rect,Angel Dust,7JUFjLmEmivuDAqYvNlpdQ,0,1,0,1,0,0,0
Blessthefall:Till The Death Of Me,Blessthefall,Till The Death Of Me,3sNd6kI7K1EWwdmrobT1xd,0,0,0,0,0,0,0
Mandragora:Curse Of Existence,Mandragora,Curse Of Existence,0qfu0rDWnsuvgSNDAYw6GU,0,0,0,0,0,0,0
Beverley Knight:No Man's Land,Beverley Knight,No Man's Land,3OUxOX9Y6QpzKQR92UshpU,0,0,0,0,0,0,0
Sheryl Crow:Blue Christmas,Sheryl Crow,Blue Christmas,6FWmy0slBeznfzEKcbdos6,0,0,0,0,0,0,0
Prince:New Position,Prince,New Position,50IkF1rhH1fFEX9pu2PzvH,0,0,0,0,0,0,0
No Doubt:You're So Foxy,No Doubt,You're So Foxy,1rmilKgByQBXGG6X0GDHcV,0,0,0,0,0,0,0
The Beautiful South:Here It Is Again,The Beautiful South,Here It Is Again,0aKUCNjrpMcJqb8kHnJ1yY,0,0,0,0,0,0,0
Deerhunter:Never Stops,Deerhunter,Never Stops,5jRF6Pwdh05CfcaZlLpzOz,0,0,0,0,0,0,0
Sunset Neon:Kiss,Sunset Neon,Kiss,0w7cYfr5Ac3BChb7lDRtKF,0,0,0,0,0,0,0
Ancestral:Lust For Supremacy,Ancestral,Lust For Supremacy,1lNrFJIfl7xJArhyDJ7j3G,0,1,0,0,0,1,0
Paul Rodgers:She's Alright,Paul Rodgers,She's Alright,5YIKGuqB1NujQpIEnv2ssy,0,0,0,0,0,0,0
The Kry:Everywhere,The Kry,Everywhere,08fbVH7trIo81XTV8XfmNH,0,0,0,0,0,0,0
Graveworm:Christian Woman,Graveworm,Christian Woman,2Hl5WH7CIegCo4RB8wM5pv,0,0,0,0,0,0,0
Brenda Lee:Ballin' The Jack,Brenda Lee,Ballin' The Jack,7FSN8gpnudMqqPPu4JuHZI,0,0,0,0,0,0,0
Ryan Bingham:Long Way From Georgia,Ryan Bingham,Long Way From Georgia,3SXf7sQS6vqlNColluxZyp,0,0,0,0,0,0,0
Starsailor:Empty Streets,Starsailor,Empty Streets,5xiQdF1rvNFO7dibelm3gc,0,0,0,0,0,0,0
Phil Wickham:Better Than Life,Phil Wickham,Better Than Life,5Gxt6PwBwlZqPKhgC0FNKF,0,0,0,0,0,0,0
Tom Jones & Van Morrison:Carrying A Torch,Tom Jones & Van Morrison,Carrying A Torch,1RtBoBHwJu14ldMlxRIxGr,0,0,0,0,0,0,0
Chris Rea:Loving You,Chris Rea,Loving You,0m3XcQ2LTh0eb4U1HNkpf8,0,0,0,0,0,0,0
David Crowder Band:Can You Feel It?,David Crowder Band,Can You Feel It?,0jsDSZMrOQqP2RYV8KJu1n,0,0,0,0,0,0,0
Chris Cornell:Your Soul Today,Chris Cornell,Your Soul Today,60fmWvUz3I3ut4NTXSSEu8,0,0,0,0,0,0,0
Angels & Agony:Circles,Angels & Agony,Circles,7MA76mHWUgWCzq04FYb5l9,0,0,0,0,0,0,0
Mike Pinder:Hurry On Home,Mike Pinder,Hurry On Home,7f2NYzDbvHVNSDup0TZlk2,0,0,0,0,0,0,0
Imelda May:I'm Lookin' For Someone To Love,Imelda May,I'm Lookin' For Someone To Love,2Dxs3ACA274MPtefPWaEXA,0,1,0,1,0,0,0
Joan Osborne:Roll Like A Big Wheel,Joan Osborne,Roll Like A Big Wheel,7xNgAbKwwGVkWbJQnvleU5,0,0,0,0,0,0,0
The Four Aces:It's A Woman's World,The Four Aces,It's A Woman's World,3KY3uJGqPdC6p2zR2mwrbb,0,0,0,0,0,0,0
At War:Dawn Of Death,At War,Dawn Of Death,0UNFQkubHxigFVDwB5amkd,0,1,0,0,0,1,0
Eve After Fall:Fall Asleep,Eve After Fall,Fall Asleep,0XgLu0HpRPL858tbN5EhxX,0,0,0,0,0,0,0
Soul Demise:World Without Conscience,Soul Demise,World Without Conscience,3HryiIkFb5mEat2Wj2Jqee,0,0,0,0,0,0,0
Don Brownrigg:Bad Timing,Don Brownrigg,Bad Timing,0MojZzacKQfG2HhlWWhEft,0,0,0,0,0,0,0
Nahemah:Under The Mourning Rays,Nahemah,Under The Mourning Rays,5xhBA0Tk3w9kEetCyYDzKg,0,0,0,0,0,0,0
Rebecca Martin:No Moon At All,Rebecca Martin,No Moon At All,7KrwTFWXHEe6a8C8BC4uPY,0,0,0,0,0,0,0
Golden Earring:Clear Night Moonlight,Golden Earring,Clear Night Moonlight,4FVvQ8vol8iUSC665tcUBW,0,0,0,0,0,0,0
Boysetsfire:Reason To Believe,Boysetsfire,Reason To Believe,5GyyL81RtAxMoLIi8WQ7j8,0,0,0,0,0,0,0
Alice In Chains:God Smack,Alice In Chains,God Smack,1klrDyGRsCBPofZdqdaZp6,0,0,0,0,0,0,0
4 Clubbers:Someday (Future Breeze Vs. Junkfood Junkies Mix),4 Clubbers,Someday (Future Breeze Vs. Junkfood Junkies Mix),60usK1pxJtyjbOXuGkCS5h,0,0,0,0,0,0,0
Sister C:This Bar Ain't Big Enough,Sister C,This Bar Ain't Big Enough,4RdgINr6eNYuKZswtJDgl8,0,0,0,0,0,0,0
Gordon Bok:Boat Of Silver,Gordon Bok,Boat Of Silver,3CSEC5TjhEfYhF4hsjthXz,0,0,0,0,0,0,0
Red Hot Chili Peppers:So Much I,Red Hot Chili Peppers,So Much I,6gTdrud3duWIBg8r2YdjOL,0,0,0,0,0,0,0
Dominion:The Endless,Dominion,The Endless,33ZIm7J1qhSHmxjT0H6mLA,0,0,0,0,0,0,0
Choke:For Good Reason,Choke,For Good Reason,7ciwCjkgXpO5JEOC4Ykyk3,0,0,0,0,0,0,0
Paul Brady:Blue World,Paul Brady,Blue World,1wcYYkQVCsfsGGYZxszPkn,0,0,0,0,0,0,0
Lee DeWyze:Fallen,Lee DeWyze,Fallen,4bJC9aKdlX6qoyCyNb2Ck8,0,0,0,0,0,0,0
Erin Mckeown:I Was A Little Too Lonely (You Were A Little Too Late),Erin Mckeown,I Was A Little Too Lonely (You Were A Little Too Late),3Xqos9RkOg8XxAuQsQql5l,0,0,0,0,0,0,0
Dappled Cities:My Head's Queen Ant,Dappled Cities,My Head's Queen Ant,6FJgqzRaAtKJBvZSqGLnfY,0,0,0,0,0,0,0
Lauren Duski:Deja Vu - The Voice Performance,Lauren Duski,Deja Vu - The Voice Performance,4xTNksNuXORn62bGXsGZXd,0,0,0,0,0,0,0
Peter Stuart:Roll Me Over,Peter Stuart,Roll Me Over,04WRTg7SilZ9L1TkTu3CEZ,0,0,0,0,0,0,0
Diamond Rio:Two Pump Texaco,Diamond Rio,Two Pump Texaco,0jSjUM25G1TuoVK4A7z8nq,0,0,0,0,0,0,0
Trent Willmon:Here,Trent Willmon,Here,1WqZBmQgGQw1DDY7BuRyUd,0,0,0,0,0,0,0
Urge Overkill:Positive Bleeding,Urge Overkill,Positive Bleeding,7tWZbpeTXuvoJZguJhEx3U,0,0,0,0,0,0,0
Suede:The Asphalt World,Suede,The Asphalt World,7p8bGkjYLK3KU2UPJOvoml,0,0,0,0,0,0,0
